card_name,cardColorList,Text,text_corpus,book,chapter
"Gandalf, Friend of the Shire",U,"“After a hundred years, Hobbits can still surprise you at a pinch.”",after a hundred years hobbits can still surprise you at a pinch,fs,fs6
"Goldberry, River-Daughter",U,“Fear nothing! For tonight you are under the roof of Tom Bombadil.”,fear nothing for tonight you are under the roof of tom bombadil,fs,fs11
Grey Havens Navigator,U,"It was an old tradition that beyond the Shire stood the Grey Havens, from which at times elven-ships set sail, never to return.",it was an old tradition that beyond the shire stood the grey havens from which at times elvenships set sail never to return,fs,fs6
Hithlain Knots,U,"“If you will try to run away you must be tied; but we don’t wish to hurt you.”
—Sam",if you will try to run away you must be tied but we don’t wish to hurt you ,tt,tt12
Horses of the Bruinen,U,"The black horses were filled with madness, and leaping forward in terror they bore their riders into the rushing flood.",the black horses were filled with madness and leaping forward in terror they bore their riders into the rushing flood,fs,fs16
Ioreth of the Healing House,U,“I have been too busy with this and that to heed all the crying and shouting. All I hope is that those murdering devils do not come to this House and trouble the sick.”,i have been too busy with this and that to heed all the crying and shouting all i hope is that those murdering devils do not come to this house and trouble the sick,rk,rk8
Knights of Dol Amroth,U,And so the companies came and were hailed and cheered and passed through the Gate.,and so the companies came and were hailed and cheered and passed through the gate,rk,rk1
Lórien Revealed,U,"“Look on us now with friendly eyes! Behold the trees of the Naith of Lórien and be glad!”
—Haldir",look on us now with friendly eyes behold the trees of the naith of lórien and be glad ,fs,fs22
Lost Isle Calling,U,"“To the Sea, to the Sea!”",to the sea to the sea,rk,rk14
Nimrodel Watcher,U,"“But there are some of us still who go abroad for the gathering of news and the watching of our enemies.”
—Haldir",but there are some of us still who go abroad for the gathering of news and the watching of our enemies ,fs,fs22
Pelargir Survivor,U,“The Corsairs are upon us! Back to the walls! Back to the City before all are overwhelmed!”,the corsairs are upon us back to the walls back to the city before all are overwhelmed,rk,rk6
Rangers of Ithilien,U,“We have a new errand on this journey: to ambush the Men of Harad.”,we have a new errand on this journey to ambush the men of harad,tt,tt15
Saruman's Trickery,U,"“I gave you the chance of aiding me willingly.”
—Saruman",i gave you the chance of aiding me willingly ,fs,fs18
Willow-Wind,U,"The branches of the willow began to sway violently. Frodo called for help, but he could hardly hear his own voice: it was blown away from him by the willow-wind and drowned in a clamor of leaves.",the branches of the willow began to sway violently frodo called for help but he could hardly hear his own voice it was blown away from him by the willowwind and drowned in a clamor of leaves,fs,fs10
Bitter Downfall,B,"“I tried to take the Ring from Frodo. I am sorry. I have paid.”
—Boromir",i tried to take the ring from frodo i am sorry i have paid ,tt,tt1
The Black Breath,B,"“When the black breath blows, death’s shadow grows.”
—A rhyme of old days",when the black breath blows death’s shadow grows ,rk,rk8
Call of the Ring,B,“The Ring is mine!”,the ring is mine,rk,rk13
Cirith Ungol Patrol,B,"“Spies feared on Stairs. Double vigilance. Patrol to head of Stairs.”
—Shagrat’s orders",spies feared on stairs double vigilance patrol to head of stairs ,tt,tt21
Claim the Precious,B,"“I think it is a sad story, and it might have happened to others, even to some Hobbits that I have known.”
—Gandalf",i think it is a sad story and it might have happened to others even to some hobbits that i have known ,fs,fs6
